Name;MC;MP
Bitcoin;1248502723880.0;55.28975576431745
Ethereum;368118676924.0;16.30208036403763
Tether;110972686352.0;4.9144087614357606
BNB;86805207122.0;3.844155570546971
Solana;69302480100.0;3.069049931010608
USDC;33207542567.0;1.4705910391262198
XRP;29691556318.0;1.3148861157330427
Dogecoin;22486779582.0;0.9958236591995767
Toncoin;20231402880.0;0.895944640415716
Cardano;16029608216.0;0.70986879428348
Avalanche;14047838431.0;0.6221064167587953
Shiba Inu;13959645468.0;0.6182008046274514
TRON;10377861342.0;0.4595820321256116
Polkadot;10230647532.0;0.45306269064212673
Bitcoin Cash;9310375398.0;0.4123085772931056
Chainlink;8400353940.0;0.37200841359242626
NEAR Protocol;7934385898.0;0.3513730887802447
Polygon;6974433759.0;0.30886175236457386
Litecoin;6006832807.0;0.26601168941305475
Internet Computer;5937202888.0;0.26292813889949634
UNUS SED LEO;5358985919.0;0.23732188720030772
Dai;5348268374.0;0.23684726232836387
Uniswap;4495473219.0;0.19908135686809258
Render;4039975148.0;0.1789096931504183
Ethereum Classic;3981210270.0;0.17630729934702905
Hedera;3982257565.0;0.17635367864893658
First Digital USD;3861471699.0;0.17100469469945226
Aptos;3834463457.0;0.16980863875560706
Cosmos;3601339465.0;0.15948477775478673
Cronos;3458384876.0;0.15315405523410597
Pepe;3444846029.0;0.1525544894264847
Mantle;3405799639.0;0.15082532590502348
dogwifhat;3292629204.0;0.145813590174527
Filecoin;3279589942.0;0.14523614841365806
Stacks;3210783270.0;0.14218905526995007
Stellar;3152084704.0;0.13958959808352936
Immutable;3121373413.0;0.13822955317043548
OKB;3030249850.0;0.1341941598578866
Bittensor;2929621008.0;0.12973782669127923
Optimism;2857700872.0;0.12655285426156854
Arbitrum;2803690490.0;0.12416101260003246
The Graph;2708731072.0;0.11995574902445505
Arweave;2668697007.0;0.11818284646383911
Kaspa;2639997426.0;0.11691188982619805
Sui;2607778385.0;0.11548507443062206
VeChain;2609931211.0;0.11558041200695764
Maker;2585540713.0;0.11450028246330779
Monero;2391765021.0;0.1059189550229911
Injective;2345321457.0;0.10386220876103319
Theta Network;2223136583.0;0.0984512699522179
Fetch.ai;2044391652.0;0.09053557750712103
Fantom;1937785592.0;0.08581454413838431
THORChain;1817191240.0;0.08047404135764949
Celestia;1797026179.0;0.07958103465743366
Lido DAO;1717760865.0;0.07607078212228327
FLOKI;1714244243.0;0.07591504904475246
Core;1637437233.0;0.07251366213332458
Bitget Token;1606782421.0;0.07115611838426988
Bonk;1595337375.0;0.07064927623971706
Algorand;1567343581.0;0.0694095752734536
Jupiter;1544594818.0;0.06840214971790372
Sei;1515718041.0;0.06712334598199443
Gala;1378055462.0;0.06102697932999214
Flow;1324483453.0;0.05865455095097444
Aave;1296267875.0;0.057405028313554075
SingularityNET;1278102327.0;0.056600569746476474
Bitcoin SV;1262487610.0;0.05590907434743085
Worldcoin;1247709596.0;0.055254632215176284
Ethena;1243471315.0;0.05506694057712979
Beam;1216348082.0;0.05386579227410629
Pendle;1198009884.0;0.05305368792768827
Quant;1183553342.0;0.05241348213471043
BitTorrent (New);1183128018.0;0.05239464672519876
Wormhole;1154713289.0;0.05113630471562997
Ondo;1151600396.0;0.05099845071627659
Flare;1150734037.0;0.050960084137976015
Akash Network;1143406602.0;0.05063558977862863
Neo;1121820057.0;0.04967963287279478
Chiliz;1102264794.0;0.04881363098549661
MultiversX;1075926298.0;0.04764723464275269
Axie Infinity;1049915706.0;0.046495359479440244
KuCoin Token;1013939867.0;0.04490217484821665
dYdX (Native);1002142747.0;0.04437974115940955
The Sandbox;993420762.0;0.04399348936259217
eCash;971624872.0;0.043028261644849713
JasmyCoin;946525199.0;0.04191672639275072
Starknet;941657040.0;0.04170114070199998
Tezos;915584586.0;0.040546525989301155
EOS;907960151.0;0.04020887902952453
Ronin;900991212.0;0.039900260611737674
Synthetix;898593741.0;0.03979408896829097
Mina;897823254.0;0.03975996806712289
AIOZ Network;891420722.0;0.03947643289833038
Helium;860611841.0;0.03811206622673179
Conflux;844723018.0;0.03740843208461125
Decentraland;833953182.0;0.03693149151357972
Axelar;812183071.0;0.03596740541498361
ORDI;806088056.0;0.035697488590387044
Gnosis;807268891.0;0.035749781691154225
Nervos Network;805126946.0;0.035654925978270746
